time,xg,yg,zg,ug,vg,wg,phi,theta,psi
1.06,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.065,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.07,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.075,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.08,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.085,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.09,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.095,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.1,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.105,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.11,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.115,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.12,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.125,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.13,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.135,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.14,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.145,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.15,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.155,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.16,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.165,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.17,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.175,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.18,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.185,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.19,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.195,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.2,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.205,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.21,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.215,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.22,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.225,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.23,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.235,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.24,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.245,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.25,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.255,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.26,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.265,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.27,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.275,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.28,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.285,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.29,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.295,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.3,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.305,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.31,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.315,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.32,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.325,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.33,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.335,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.34,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.345,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.35,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.355,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.36,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.365,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.37,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.375,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.38,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.385,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.39,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.395,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.4,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.405,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.41,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.415,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.42,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.425,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.43,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.435,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.44,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.445,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.45,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.455,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.46,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.465,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.47,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.475,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.48,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.485,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.49,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.495,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.5,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.505,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.51,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.515,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.52,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.525,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.53,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.535,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.54,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.545,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.55,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.555,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.56,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.565,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.57,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.575,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.58,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.585,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.59,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.595,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.6,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.605,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.61,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.615,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.62,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.625,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.63,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.635,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.64,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.645,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.65,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.655,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.66,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.665,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.67,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.675,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.68,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.685,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.69,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.695,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.7,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.705,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.71,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.715,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.72,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.725,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.73,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.735,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.74,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.745,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.75,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.755,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.76,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.765,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.77,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.775,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.78,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.785,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.79,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.795,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.8,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.805,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.81,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.815,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.82,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.825,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.83,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.835,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.84,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.845,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.85,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.855,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.86,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.865,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.87,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.875,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.88,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.885,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.89,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.895,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.9,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.905,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
1.91,-120,0,-0.55,0,0,-8.88178419700125e-18,0,-0,0
