time,xg,yg,zg,ug,vg,wg,phi,theta,psi
0.6,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.605,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.61,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.615,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.62,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.625,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.63,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.635,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.64,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.645,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.65,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.655,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.66,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.665,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.67,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.675,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.68,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.685,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.69,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.695,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.7,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.705,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.71,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.715,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.72,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.725,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.73,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.735,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.74,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.745,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.75,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.755,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.76,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.765,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.77,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.775,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.78,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.785,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.79,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.795,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.8,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.805,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.81,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.815,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
0.82,-120,20,-0.55,0,0,-8.88178419700125e-18,0,-0,0
